,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
3629,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,303.2,101.325,1118.463,28.11
3630,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,308.2,101.325,1115.3185,27.41
3631,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,313.2,101.325,1112.7777142857142,26.73
3632,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,318.2,101.325,1109.6927500000002,26.07
3633,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,323.2,101.325,1107.1021428571428,25.41
3649,triethylene glycol,C(COCCOCCO)O,118662-30-9,293.2,101.325,1124.8666666666666,23.69
3650,triethylene glycol,C(COCCOCCO)O,118662-30-9,298.2,101.325,1119.8357142857144,23.07
3651,triethylene glycol,C(COCCOCCO)O,118662-30-9,303.2,101.325,1115.987,22.43
3683,water,O,14314-42-2,275.2,101.325,999.94,86.36
3685,water,O,14314-42-2,277.2,101.325,999.97,85.67
3687,water,O,14314-42-2,279.2,101.325,999.94,84.84
3689,water,O,14314-42-2,281.2,101.325,999.85,84.25
3692,water,O,14314-42-2,283.2,101.325,999.7230000000001,83.37
3703,water,O,14314-42-2,293.2,101.325,998.4200895522389,79.98
3715,water,O,14314-42-2,303.2,101.325,995.7003278688525,76.61
3716,water,O,14314-42-2,305.2,101.325,995.09,75.95
3728,water,O,14314-42-2,313.2,101.325,992.2259444444446,73.29
3729,water,O,14314-42-2,315.2,101.325,991.4200000000001,72.68
3739,water,O,14314-42-2,323.2,101.325,988.111818181818,70.14
