components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_uncertainty_std","Mass density, kg/m3_uncertainty_author_weighted","Mass density, kg/m3_uncertainty_author_averaged","Mass density, kg/m3_uncertainty_author_median","Mass density, kg/m3_uncertainty_bestguess","Mass density, kg/m3_counts",Relative permittivity at zero frequency_uncertainty_std,Relative permittivity at zero frequency_uncertainty_author_weighted,Relative permittivity at zero frequency_uncertainty_author_averaged,Relative permittivity at zero frequency_uncertainty_author_median,Relative permittivity at zero frequency_uncertainty_bestguess,Relative permittivity at zero frequency_counts
2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,298.2,101.325,829.8109999999999,7.353,0.8871247564609542,0.00556319206164213,0.03,0.03,0.8871247564609542,7,,0.005,0.005,0.005,0.005,1
2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,308.2,101.325,822.12,6.361000000000001,0.850176452061213,0.009622504486493762,0.036666666666666674,0.05,0.850176452061213,3,,0.005,0.005,0.005,0.005,1
2-ethyl-1-hexanol,C(C)C(CO)CCCC,704-76-7,318.2,101.325,814.51,5.522,0.5656854250068607,0.035355339059327376,0.05,0.05,0.5656854250068607,2,,0.005,0.005,0.005,0.005,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,288.2,101.325,805.7082,19.51,0.2850898103522276,0.0033304435769745066,0.025,0.0075,0.2850898103522276,5,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,293.2,101.325,801.8042857142857,18.71,0.3281349227289229,0.008887632464459642,0.1471,0.0655,0.3281349227289229,14,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,298.2,101.325,797.9620000000003,17.96,1.8215676597253962,0.0007268754238911994,0.03685000000000001,0.01,1.8215676597253962,47,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,303.2,101.325,794.9359999999999,17.23,2.971352346905935,0.0019471217711441546,0.0503,0.05,2.971352346905935,14,,0.03,0.03,0.03,0.03,1
2-methyl-1-propanol,CC(CO)C,68989-27-5,308.2,101.325,791.2253,16.53,3.4814082096661743,0.0019530379788955745,0.046,0.05,3.4814082096661743,10,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,288.2,101.325,789.4555714285715,21.22,0.27580660914783905,0.004018713731927203,0.023,0.0185,0.27580660914783905,7,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,293.2,101.325,785.3058461538462,20.31,0.2921993419549526,4.998167123457349e-05,0.12771785714285716,0.05,0.2921993419549526,26,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,298.0,101.325,780.88,19.1,,0.01,0.01,0.01,0.01,1,,1.0123,1.0123,1.0123,1.0123,1
2-propanol,CC(C)O,8013-70-5,298.2,101.325,781.1746990291261,19.43,0.8132528589289753,0.0006692108506792731,0.4656271186440678,0.03,0.8132528589289753,103,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,300.2,101.325,779.2,18.562,,0.1,0.1,0.1,0.1,1,,,,,,1
2-propanol,CC(C)O,8013-70-5,303.2,101.325,776.7592857142857,18.59,0.5864115986330709,0.0013290099317265112,0.15399999999999997,0.05,0.5864115986330709,35,,0.03,0.03,0.03,0.03,1
2-propanol,CC(C)O,8013-70-5,308.2,101.325,772.166,17.79,1.3188968419891727,0.0018022392234330784,0.14784210526315783,0.05,1.3188968419891727,26,,0.03,0.03,0.03,0.03,1
"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,303.2,101.325,932.6185833333333,38.03666666666667,2.9917297659628495,0.002384901238539157,0.015909090909090907,0.02,2.9917297659628495,12,0.5484827557299123,0.07393506137574932,0.13989,0.11316,0.5484827557299123,3
"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,313.2,101.325,922.5845833333333,36.551,0.44944237343603205,0.002384223291157167,0.02291666666666667,0.02,0.44944237343603205,12,,0.182755,0.182755,0.182755,0.182755,1
"N,N-dimethylacetamide",CN(C(C)=O)C,127-19-5,323.2,101.325,912.88075,34.678000000000004,0.40416359843716726,0.0024557624540596816,0.013571428571428571,0.005,0.40416359843716726,8,,0.17339000000000002,0.17339000000000002,0.17339000000000002,0.17339000000000002,1
"N,N-dimethylformamide",CN(C=O)C,68-12-2,303.2,101.325,939.4797777777775,36.55,0.48272400384624453,0.0017185617304652835,0.11368035714285717,0.0325,0.48272400384624453,36,0.0,0.07753425855710493,0.10965,0.10965,0.07753425855710493,2
N-methylacetamide,CNC(C)=O,79-16-3,303.2,101.325,950.9,178.47,0.6928203230141085,0.003903600291794133,0.021333333333333333,0.02,0.6928203230141085,3,,0.89235,0.89235,0.89235,0.89235,1
N-methylacetamide,CNC(C)=O,79-16-3,313.2,101.325,942.9666666666667,163.78799999999998,1.096965511369729,0.003903600291794133,0.021333333333333333,0.02,1.096965511369729,3,,0.81894,0.81894,0.81894,0.81894,1
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,293.2,101.325,1041.0102,22.9,0.8679834099577943,0.004967507005354077,0.08875,0.07500000000000001,0.8679834099577943,5,,0.45799999999999996,0.45799999999999996,0.45799999999999996,0.45799999999999996,1
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,298.2,101.325,1037.564285714286,22.4,0.7168888137269385,0.02229882438741499,0.0575,0.05,0.7168888137269385,7,,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,1
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,303.2,101.325,1033.6573,21.82,0.772239463404614,0.004936902314231042,0.1435714285714286,0.1,0.772239463404614,10,0.028284271245921654,0.19527118678869465,0.3272,0.3272,0.19527118678869465,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,308.2,101.325,1029.9992,21.314999999999998,0.6939371008404578,0.03333333333333333,0.06666666666666667,0.05,0.6939371008404578,5,0.0212132034382932,0.19072756350637032,0.31965,0.31965,0.19072756350637032,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,313.2,101.325,1026.0595454545455,20.814999999999998,0.8313613369047461,0.0049311858031231524,0.13843750000000002,0.1,0.8313613369047461,11,0.021213203440972824,0.18625542537102457,0.31215000000000004,0.31215000000000004,0.18625542537102457,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,318.2,101.325,1022.4053333333333,20.310000000000002,0.654639341013967,0.03333333333333333,0.06666666666666667,0.05,0.654639341013967,6,0.014142135621955968,0.18171178582551373,0.3046,0.3046,0.18171178582551373,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,323.2,101.325,1018.3738999999999,19.795,0.8180186700227619,0.004937106355646588,0.14382000000000003,0.1,0.8180186700227619,10,0.007071067794900237,0.177025018801162,0.29695,0.29695,0.177025018801162,2
N-methyldiethanolamine,CN(CCO)CCO,105-59-9,328.2,101.325,1015.3225,19.29,0.4560838739523123,0.1,0.1,0.1,0.4560838739523123,2,0.014142135625975404,0.1724812950227875,0.2894,0.2894,0.1724812950227875,2
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,278.2,101.325,973.52,7.681,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,280.6,101.325,970.515,7.603,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,283.2,101.325,967.49,7.51,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,285.6,101.325,964.457,7.437,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,288.2,101.325,960.4390000000001,7.372000000000001,1.3845150774547017,0.018569533817705187,0.035,0.035,1.3845150774547017,2,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,290.6,101.325,958.368,7.271,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,293.2,101.325,954.4114999999999,7.17,1.2749135265458906,0.018569533817705187,0.035,0.035,1.2749135265458906,2,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,295.6,101.325,952.248,7.098,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,298.2,101.325,948.777,7.021,0.8114259053382192,0.035355339059327376,0.05,0.05,0.8114259053382192,4,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,300.6,101.325,946.095,6.949,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,303.2,101.325,942.6716666666666,6.84,0.9404032824160888,0.018569533817705187,0.035,0.035,0.9404032824160888,3,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,305.6,101.325,939.9069999999999,6.739,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,308.2,101.325,936.719,6.651,1.0222343174250061,0.018569533817705187,0.035,0.035,1.0222343174250061,3,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,310.6,101.325,933.679,6.57,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,313.2,101.325,930.7526666666666,6.479,1.1586377059344513,0.018569533817705187,0.035,0.035,1.1586377059344513,3,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,315.6,101.325,927.4060000000001,6.399,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,318.2,101.325,924.007,6.308,0.34931075006501566,0.018569533817705187,0.035,0.035,0.34931075006501566,2,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,320.6,101.325,921.091,6.215,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,323.2,101.325,917.914,6.1129999999999995,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,325.6,101.325,914.727,6.021,,0.05,0.05,0.05,0.05,1,,,,,,1
"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,328.2,101.325,911.529,5.933,,0.05,0.05,0.05,0.05,1,,,,,,1
bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,293.2,101.325,1116.8775,31.81,0.3317001655518829,0.016640595547847754,1.68806,1.6905599999999998,0.3317001655518829,4,,0.02,0.02,0.02,0.02,1
bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,298.2,101.325,1113.0955555555556,30.95,0.576912279038381,0.008296676407737628,0.58951,0.0325,0.576912279038381,9,,0.02,0.02,0.02,0.02,1
bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,303.2,101.325,1109.5133333333333,30.03,0.30458988863598246,0.011821545046835472,0.13243749999999999,0.0675,0.30458988863598246,9,,0.02,0.02,0.02,0.02,1
cycloheptanone,C1(CCCCCC1)=O,502-42-1,298.2,101.325,950.2,12.92,,0.4,0.4,0.4,0.4,1,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,288.2,101.325,952.1893333333334,16.4,1.3330871439652305,0.04714045207910317,0.15,0.2,1.3330871439652305,3,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,293.2,101.325,947.7782500000001,16.08,1.2054980643487152,0.048507125007266595,0.125,0.125,1.2054980643487152,4,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,298.2,101.325,942.2594666666668,15.77,1.0165777930338344,0.0002964127100704832,0.2013,0.1,1.0165777930338344,15,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,303.2,101.325,937.7697272727273,15.46,0.8536046028777176,0.00802572353905128,0.06666666666666667,0.035,0.8536046028777176,11,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,308.2,101.325,933.7616666666667,15.17,1.4141649480014578,0.009735318103990085,0.2489,0.15000000000000002,1.4141649480014578,9,,0.01,0.01,0.01,0.01,1
cyclohexanone,C1(CCCCC1)=O,11119-77-0,313.2,101.325,928.963,14.89,1.2964933475098854,0.009794042137487835,0.08666666666666667,0.05,1.2964933475098854,5,,0.01,0.01,0.01,0.01,1
cyclopentanone,C1(CCCC1)=O,120-92-3,273.2,101.325,969.1,14.45,,0.9691,0.9691,0.9691,0.9691,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,278.2,101.325,964.3,14.25,,0.9643,0.9643,0.9643,0.9643,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,283.2,101.325,959.5,14.06,,0.9595,0.9595,0.9595,0.9595,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,288.2,101.325,954.345,13.86,0.502045814652466,0.0994558979558087,0.52735,0.52735,0.502045814652466,2,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,293.2,101.325,949.9,13.67,,0.9499,0.9499,0.9499,0.9499,1,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,298.2,101.325,944.508142857143,13.49,0.7568008166249263,0.001999570659131849,0.36175,0.25,0.7568008166249263,7,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,303.2,101.325,938.95,13.3,0.6363961029069152,,,,0.6363961029069152,2,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,308.2,101.325,934.4966666666668,13.13,0.52728866212887,0.1,0.1,0.1,0.52728866212887,3,,0.02,0.02,0.02,0.02,1
cyclopentanone,C1(CCCC1)=O,120-92-3,313.2,101.325,929.45,12.95,0.6363961029069152,,,,0.6363961029069152,2,,0.02,0.02,0.02,0.02,1
dibutyl ether,C(CCC)OCCCC,142-96-1,288.2,101.325,772.465,3.1860000000000004,0.19091883095744144,0.02,0.02,0.02,0.19091883095744144,2,,0.09558,0.09558,0.09558,0.09558,1
dibutyl ether,C(CCC)OCCCC,142-96-1,293.2,101.325,768.4352000000001,3.145,0.30775509709924737,0.006666666666666667,0.013333333333333334,0.01,0.30775509709924737,5,,0.09435,0.09435,0.09435,0.09435,1
dibutyl ether,C(CCC)OCCCC,142-96-1,298.2,101.325,764.0378461538462,3.1060000000000003,0.16784211123636014,0.0034815531191139566,0.010833333333333334,0.01,0.16784211123636014,13,,0.09318,0.09318,0.09318,0.09318,1
dibutyl ether,C(CCC)OCCCC,142-96-1,303.2,101.325,759.6876,3.068,0.1678639331619706,0.006666666666666667,0.013333333333333334,0.01,0.1678639331619706,5,,0.09204,0.09204,0.09204,0.09204,1
dibutyl ether,C(CCC)OCCCC,142-96-1,308.2,101.325,755.38,3.031,0.0989949487771897,,,,0.0989949487771897,2,,0.09093,0.09093,0.09093,0.09093,1
diethanolamine,N(CCO)CCO,61791-44-4,303.2,101.325,1090.2126666666666,24.69,0.5693022631309996,4.999997206832507e-05,0.31154600000000005,0.2,0.5693022631309996,6,,0.2469,0.2469,0.2469,0.2469,1
diethanolamine,N(CCO)CCO,61791-44-4,308.2,101.325,1087.2386666666669,24.3,0.46649901744401573,4.9999973676896346e-05,0.08913,0.05,0.46649901744401573,3,,0.243,0.243,0.243,0.243,1
