,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
2137,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,298.2,101.325,1113.1857142857145,30.95
2138,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,303.2,101.325,1109.4885714285715,30.03
2277,butyl oxide,C(CCC)OCCCC,142-96-1,288.2,101.325,772.6,3.186
2278,butyl oxide,C(CCC)OCCCC,142-96-1,293.2,101.325,768.27,3.145
2279,butyl oxide,C(CCC)OCCCC,142-96-1,298.2,101.325,763.888,3.106
2280,butyl oxide,C(CCC)OCCCC,142-96-1,303.2,101.325,759.62,3.068
2281,butyl oxide,C(CCC)OCCCC,142-96-1,308.2,101.325,755.31,3.031
2444,cyclohexanone,C1(CCCCC1)=O,11119-77-0,288.2,101.325,952.1893333333334,16.4
2446,cyclohexanone,C1(CCCCC1)=O,11119-77-0,293.2,101.325,947.7782500000001,16.08
2448,cyclohexanone,C1(CCCCC1)=O,11119-77-0,298.2,101.325,942.3128,15.77
2450,cyclohexanone,C1(CCCCC1)=O,11119-77-0,303.2,101.325,937.7697272727273,15.46
2452,cyclohexanone,C1(CCCCC1)=O,11119-77-0,308.2,101.325,933.7616666666667,15.17
2454,cyclohexanone,C1(CCCCC1)=O,11119-77-0,313.2,101.325,928.963,14.89
2512,cyclopentanone,C1(CCCC1)=O,120-92-3,273.2,101.325,969.1,14.45
2514,cyclopentanone,C1(CCCC1)=O,120-92-3,278.2,101.325,964.3,14.25
2516,cyclopentanone,C1(CCCC1)=O,120-92-3,283.2,101.325,959.5,14.06
2518,cyclopentanone,C1(CCCC1)=O,120-92-3,288.2,101.325,954.345,13.86
2520,cyclopentanone,C1(CCCC1)=O,120-92-3,293.2,101.325,949.9,13.67
2522,cyclopentanone,C1(CCCC1)=O,120-92-3,298.2,101.325,944.5428333333334,13.49
2524,cyclopentanone,C1(CCCC1)=O,120-92-3,303.2,101.325,938.95,13.3
2526,cyclopentanone,C1(CCCC1)=O,120-92-3,308.2,101.325,934.4966666666668,13.13
2528,cyclopentanone,C1(CCCC1)=O,120-92-3,313.2,101.325,929.45,12.95
2579,diethanolamine,N(CCO)CCO,61791-44-4,303.2,101.325,1090.3690000000001,24.69
2580,diethanolamine,N(CCO)CCO,61791-44-4,308.2,101.325,1087.2386666666669,24.3
2582,diethanolamine,N(CCO)CCO,61791-44-4,313.2,101.325,1083.9796000000001,23.86
2583,diethanolamine,N(CCO)CCO,61791-44-4,318.2,101.325,1080.6746666666668,23.28
2585,diethanolamine,N(CCO)CCO,61791-44-4,323.2,101.325,1077.1763999999998,22.63
2586,diethanolamine,N(CCO)CCO,61791-44-4,328.2,101.325,1074.4,22.13
2589,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,288.2,101.325,980.3299999999999,2.841
2591,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,298.2,101.325,969.1657142857144,2.834
2593,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,308.2,101.325,957.8914285714285,2.836
2595,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,318.2,101.325,947.665,2.837
2597,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,328.2,101.325,935.14,2.839
2638,diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,313.2,101.325,992.46,13.62
2641,diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,323.2,101.325,984.6116666666667,13.36
2651,dimethyl carbonate,C(OC)(OC)=O,616-38-6,288.2,101.325,1076.2940000000003,3.131
2653,dimethyl carbonate,C(OC)(OC)=O,616-38-6,298.2,101.325,1063.7465555555555,3.134
2655,dimethyl carbonate,C(OC)(OC)=O,616-38-6,308.2,101.325,1050.0238749999999,3.141
2657,dimethyl carbonate,C(OC)(OC)=O,616-38-6,318.2,101.325,1036.7217500000002,3.147
2659,dimethyl carbonate,C(OC)(OC)=O,616-38-6,328.2,101.325,1022.8686666666666,3.149
2696,dimethylglycol,C(COC)OC,173201-80-4,288.2,101.325,872.14,7.41
2706,dimethylglycol,C(COC)OC,173201-80-4,298.2,101.325,861.23,7.07
2716,dimethylglycol,C(COC)OC,173201-80-4,308.2,101.325,850.15,6.75
2807,ethanol,C(C)O,121182-78-3,288.2,101.325,793.8256296296296,25.92
2811,ethanol,C(C)O,121182-78-3,293.2,101.325,789.6144237288137,25.12
2813,ethanol,C(C)O,121182-78-3,298.0,101.325,785.1,22.8
2814,ethanol,C(C)O,121182-78-3,298.2,101.325,785.688540404041,24.35
2818,ethanol,C(C)O,121182-78-3,303.2,101.325,781.3063000000002,23.735
